LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,Total_crime
E01000019,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.3,0.2,0.1,10
E01000020,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.29411764705882354,0.4117647058823529,17
E01000021,0.125,0.0625,0.0625,0.0,0.0,0.0,0.0,0.125,0.25,0.375,16
E01000022,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.5555555555555556,9
E01000023,0.13043478260869565,0.0,0.021739130434782608,0.0,0.0,0.043478260869565216,0.043478260869565216,0.1956521739130435,0.1956521739130435,0.3695652173913043,46
E01000024,0.0,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.17647058823529413,17
E01000025,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.14285714285714285,0.35714285714285715,0.42857142857142855,14
E01000027,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0,0.06060606060606061,0.0,0.030303030303030304,0.15151515151515152,0.6363636363636364,33
E01000028,0.16666666666666666,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.5,18
E01000029,0.15384615384615385,0.23076923076923078,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.3076923076923077,0.15384615384615385,13
E01000030,0.09302325581395349,0.11627906976744186,0.023255813953488372,0.0,0.0,0.046511627906976744,0.046511627906976744,0.11627906976744186,0.16279069767441862,0.3953488372093023,43
E01000031,0.038461538461538464,0.11538461538461539,0.0,0.0,0.07692307692307693,0.0,0.0,0.2692307692307692,0.11538461538461539,0.38461538461538464,26
E01000032,0.05,0.125,0.1,0.0,0.0,0.05,0.15,0.075,0.15,0.3,40
E01000033,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.5714285714285714,14
E01000034,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.21428571428571427,0.0,0.42857142857142855,14
E01000035,0.09302325581395349,0.046511627906976744,0.09302325581395349,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.2558139534883721,0.16279069767441862,0.2558139534883721,43
E01000036,0.041666666666666664,0.125,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.20833333333333334,0.5,24
E01000037,0.0,0.0,0.2,0.0,0.0,0.1,0.05,0.15,0.1,0.4,20
E01000038,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,6
E01000039,0.06666666666666667,0.2,0.13333333333333333,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.3333333333333333,15
E01000040,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.125,0.25,0.3333333333333333,24
E01000041,0.0,0.25,0.0,0.0,0.0,0.1875,0.0625,0.0,0.0625,0.4375,16
